"gene","beta_age_rna","p_rna","FDR_rna"
"ENSG00000160072.19",0.0592867264057131,7.26041949442087e-06,3.34408944209153e-05
"ENSG00000197785.13",-0.0674909177242861,7.10649311396077e-10,7.3462947587405e-09
"ENSG00000205090.8",0.182477281729882,6.45752347281886e-19,4.54324844682625e-17
"ENSG00000160075.11",-0.0371102747802289,2.62976430986051e-05,0.000106710609944132
"ENSG00000215014.4",0.045836969750627,0.0515309253596131,0.0934587160388817
"ENSG00000274481.1",-0.0746948955999048,0.17759684751893,0.264572501969601
"ENSG00000228594.3",-0.101740301291965,0.0012414905199784,0.00350609544480842
"ENSG00000272106.1",0.0766861537742403,4.98810569369125e-06,2.37909605932228e-05
"ENSG00000197530.12",-0.0014062238835413,0.913055398643976,0.939980323019324
"ENSG00000189409.13",0.112544526379977,0.00232729864603906,0.00617121002891018
"ENSG00000248333.8",-0.056722299325074,6.04724354314557e-06,2.82776565450178e-05
"ENSG00000272004.1",-0.0100652937854295,0.926803709339782,NA
"ENSG00000189339.11",0.0278016027543268,0.0495403796378944,0.0902804916339708
"ENSG00000269737.2",0.0929109061172748,2.2647771835547e-05,9.32386804467651e-05
"ENSG00000215914.4",0.0514008244035334,0.557018709810294,0.654469056926786
"ENSG00000008128.22",-0.0369677863906019,0.00972932347616348,0.0219712657069462
"ENSG00000227775.3",0.0607283816275348,0.000450239423912289,0.00140391571092759
"ENSG00000215790.6",0.00296502250587634,0.832338306078197,0.881178737614014
"ENSG00000008130.15",0.0215122314288596,0.0967109026853395,0.159361565698271
"ENSG00000078369.17",0.0241657716799059,0.000324550498486141,0.0010418400789718
"ENSG00000231050.1",-0.0165818907276777,0.512177814908957,0.613984588162623
"ENSG00000169885.9",0.252944956199098,2.36044348763622e-07,1.48642897209502e-06
"ENSG00000178821.12",0.133336144939157,2.26216607986235e-06,1.1599900953438e-05
"ENSG00000142609.17",0.211416172379,1.65589166059652e-05,7.00417392746149e-05
"ENSG00000233542.1",-0.14654318214746,0.0118293843973624,0.0260510014650224
"ENSG00000187730.8",-0.0661616056438111,0.0308489640210447,0.0600849956268209
"ENSG00000226969.1",-0.00191030628368228,0.994650637711627,NA
"ENSG00000067606.16",0.262870287199347,7.12406964704415e-16,2.59388583318309e-14
"ENSG00000271806.1",0.240865236269158,0.00266314180788129,0.006958678111852
"ENSG00000182873.5",0.102335899905617,8.07222269767646e-10,8.24441305823229e-09
"ENSG00000162585.16",0.0176814967348321,0.0601878432963445,0.106685344327967
"ENSG00000234396.3",0.0656601245016374,0.484137186286896,NA
"ENSG00000157933.9",-0.0153167780055143,0.195376338483058,0.286087666091214
"ENSG00000116151.13",0.0441926965529329,0.0014854849222177,0.00412147241679188
"ENSG00000272161.1",-0.082972927133958,0.0586823110663204,0.104387281885641
"ENSG00000269896.2",0.0576597202908267,0.00251841026836551,0.00662130663165322
"ENSG00000272420.1",0.00118639742234048,0.970561309475407,0.980511571207237
"ENSG00000157916.19",-0.0204161140243372,0.00329053569402632,0.00840381482671079
"ENSG00000157911.9",0.014266055699915,0.271143946258097,0.372837389275184
"ENSG00000149527.17",0.017591778665439,0.496022486399575,0.599120345575137
"ENSG00000224387.1",-0.00488407018357294,0.961494849533694,NA
"ENSG00000229393.1",-0.0154502249108627,0.860248566156078,0.902072620236496
"ENSG00000157881.13",-0.0196074660287317,0.0645853830542397,0.113326878575298
"ENSG00000197921.5",0.101440749080756,0.0333306104370578,0.0641929508166466
"ENSG00000272449.1",-0.0352992924049478,0.164746791847359,0.248485109235042
"ENSG00000238164.6",0.0359527356581192,0.0268775812974457,0.0533002832265119
"ENSG00000157873.17",0.0999018384901281,1.00937764907959e-10,1.24189293571178e-09
"ENSG00000225931.3",0.173886712510222,0.000336290310571857,0.00107673714999572
"ENSG00000228037.1",-0.0111425944845014,0.68668048422371,0.767016959343477
"ENSG00000157870.14",0.0749833961461571,1.15364318628518e-05,5.04736515840699e-05
"ENSG00000142606.15",0.0991535433891879,0.0278880015254122,0.0550297044184542
"ENSG00000215912.12",0.20405987969005,5.5587246317895e-09,4.8202040853109e-08
"ENSG00000283259.1",0.0388191369342256,0.92555316074058,NA
"ENSG00000233234.1",0.0101786495157361,0.988020714407469,NA
"ENSG00000231630.1",0.0123305145990377,0.986873204734755,NA
"ENSG00000169717.6",-0.15199396729096,0.226432276459876,0.322689277093741
"ENSG00000177133.10",0.105012611252955,0.000564548766543176,0.00172023214225255
"ENSG00000142611.16",0.0703576873202571,0.00375038334835343,0.00943982210857619
"ENSG00000226286.1",0.0327892753768702,0.843721237807989,NA
"ENSG00000279839.1",0.127780455133485,0.274341886426621,0.376335402568115
"ENSG00000272235.1",0.163234107631457,0.0423032620869483,0.0789172705510181
"ENSG00000130762.14",0.119135685142147,0.000249433908793461,0.000821495180197435
"ENSG00000272088.1",0.0332682618271709,0.633086976513792,0.721867007933614
"ENSG00000162591.15",0.0892715491152775,1.42440357944095e-05,6.10596734605903e-05
"ENSG00000238260.1",0.0851180717766884,0.0201424041786334,0.0414489232931927
"ENSG00000158109.14",0.000867763136927067,0.909692215428234,0.937531976869718
"ENSG00000116213.15",-0.0284278790983663,0.00172194098816516,0.00470022062360406
"ENSG00000078900.14",0.142837401430719,1.43486050001205e-09,1.39179740794366e-08
"ENSG00000227589.1",-0.0177616916415598,0.922730482942741,NA
"ENSG00000235131.1",-0.0101408405675198,0.947439006742194,NA
"ENSG00000227372.11",0.0431490988597485,3.15038322719579e-08,2.38297649600774e-07
"ENSG00000162592.9",0.160810673095356,2.31035001787066e-05,9.48120334002119e-05
"ENSG00000235169.7",-0.0188039612867988,0.46429419811436,0.56954738891865
"ENSG00000130764.9",-0.00124389962614206,0.867208541259086,0.907480947780065
"ENSG00000266075.2",0.0348919111827579,0.623904036879261,0.71385347530052
"ENSG00000272153.1",0.102534307997426,2.74875857959491e-05,0.000111203073082595
"ENSG00000116198.12",-0.0658495564423681,1.16805411246193e-11,1.7473634013863e-10
"ENSG00000169598.15",0.0490222858513565,8.15898836354409e-05,0.000297238080314846
"ENSG00000198912.10",-0.0585357945978629,2.05811113086438e-10,2.37105881193575e-09
"ENSG00000236423.5",-0.355311441496899,3.5060458509162e-22,4.93341988882414e-20
"ENSG00000233304.6",-0.114996066343451,0.0371300078067918,0.0704078291978021
"ENSG00000226374.2",-0.167821608208396,0.00713389380402135,0.0166842400963115
"ENSG00000229280.1",-0.0163500604111325,0.95315924475085,NA
"ENSG00000235054.3",0.0627276699486977,0.858069158404863,NA
"ENSG00000232596.2",0.0250508178016505,0.945617048868235,NA
"ENSG00000196581.10",0.0941149702168752,0.01210101071327,0.0265747201127035
"ENSG00000260972.1",-0.135504002740584,0.0892916792644944,0.148844981795854
"ENSG00000236948.2",0.00815686150736045,0.955090585737808,NA
"ENSG00000131697.17",0.00736932721974794,0.766410417863321,0.830892988032636
"ENSG00000069424.14",0.0939846125650142,0.0121224488842373,0.0266109183457169
"ENSG00000116254.17",0.0458669761918945,0.141356066531371,0.21867098088528
"ENSG00000116251.9",0.0212495633447513,0.00239554523211009,0.00633341434314764
"ENSG00000226944.1",0.0313529907811955,0.442518891626267,0.549152208460033
"ENSG00000158286.12",0.0968124085711732,0.000139245707786639,0.000482879298537329
"ENSG00000116237.15",-0.0296492334430608,0.142279196415391,0.21984571526293
"ENSG00000225077.2",0.365030192111667,1.04337219748652e-07,7.08846348716172e-07
"ENSG00000173673.7",0.0434230525464255,0.833470923515829,NA
"ENSG00000158292.6",0.0257978760553361,0.362981519242364,0.470261880610594
"ENSG00000097021.19",0.043785409070433,0.00209724883115141,0.0056161928933925
"ENSG00000069812.11",0.0310016460605713,0.587998211931042,0.682211730207539
"ENSG00000187017.15",0.0736982737310516,0.0755659067069003,0.129409996820813
"ENSG00000231868.1",0.0167540980785643,0.958441259532785,NA
"ENSG00000215788.9",0.0451915631214038,0.0226396515192744,0.0458989235501183
"ENSG00000171680.21",0.0758966996160235,2.26596771783779e-05,9.32757764076227e-05
"ENSG00000162408.10",-0.00156597450592432,0.888424070937126,0.922937934032078
"ENSG00000253022.1",0.000140214745334149,0.999814098673826,NA
"ENSG00000229519.2",0.100733548436115,0.0798006981259506,0.135316418234621
"ENSG00000173662.20",0.0762532259449478,0.00672814406863615,0.0158422350254777
"ENSG00000204859.12",0.0151242795522581,0.215400665064977,0.309984173569236
"ENSG00000162413.16",-0.089038990153556,5.36598456705839e-06,2.54089817346543e-05
"ENSG00000116273.5",0.0122890188605048,0.401382521220314,0.509022353547253
"ENSG00000041988.15",-0.0315648123328444,0.000635713909394651,0.00191373405291703
"ENSG00000007923.15",-0.0738965705890621,2.02227271406031e-14,5.38988367784661e-13
"ENSG00000228750.6",0.00364081454776216,0.982695068346572,NA
"ENSG00000237436.1",-0.0222692629143919,0.449478986600892,0.555777489840389
"ENSG00000171735.18",-0.017648084453316,0.169701357194834,0.254673052164877
"ENSG00000227950.1",0.0092947231172691,0.95450382164932,NA
"ENSG00000237365.1",0.0990834031149561,0.574110839253104,NA
"ENSG00000237402.1",0.137186933672698,0.00143425026898463,0.00399307468614929
"ENSG00000237728.2",0.0817924903990779,0.714245678767416,NA
"ENSG00000225126.1",0.15632247203726,0.210968877298065,NA
"ENSG00000270171.1",0.218737964119544,0.00474347883981072,0.0116377004715091
"ENSG00000270035.1",0.0816172597410417,0.235547788694784,0.333028668997061
"ENSG00000269978.1",0.107024475785124,0.089594283974464,0.149260501112044
"ENSG00000049245.12",0.0184522620735128,0.00738786132791079,0.0172095030412253
"ENSG00000269925.1",0.0649770088627245,0.021155148616978,0.0432347532114469
"ENSG00000049246.14",0.241912827089817,2.64998740832629e-24,6.18772059844189e-22
"ENSG00000236266.1",0.299290008755513,1.01136882643347e-17,5.63829371871377e-16
"ENSG00000049247.13",-0.113254421983168,0.248024268197684,0.346954026226784
"ENSG00000049249.8",0.160811790890441,0.00378508132208209,0.00951396115963287
"ENSG00000270330.1",-0.0149451462714509,0.943807978835529,NA
"ENSG00000116288.12",-0.0158478450469704,0.0617807223946839,0.109058848346877
"ENSG00000200344.1",0.050062690052856,0.646290616154146,0.732954018383664
"ENSG00000116285.12",0.104350987071228,0.023552043314509,0.0475095462453628
"ENSG00000238290.1",0.252264730288285,2.88864988509802e-12,4.95902851611685e-11
"ENSG00000232848.1",0.0735554312577068,0.223328856629175,0.318990886742817
"ENSG00000229305.1",0.145301908204517,0.0706528881420995,0.122236135012235
"ENSG00000227634.2",0.180660040092802,0.00522680445417063,0.0126805691858711
"ENSG00000200975.1",0.0310047527706518,0.957119297686881,NA
"ENSG00000233645.1",0.0438706055289692,0.83945731384313,NA
"ENSG00000162426.14",-0.073328565624375,1.73216470590358e-05,7.29614945337659e-05
"ENSG00000252254.1",-0.0476276583689558,0.731846222707311,NA
"ENSG00000142599.17",-0.0372415265344026,0.0421406637716696,0.078668584577821
"ENSG00000232912.5",-0.000181288078560754,0.99383865369351,0.995940380592939
"ENSG00000221083.1",0.0131212175037255,0.972080904236488,NA
"ENSG00000270282.1",0.0794505862596182,0.585383537025084,NA
"ENSG00000234619.1",-0.0965862503642012,0.0829419139610528,0.13987006979103
"ENSG00000224315.2",-0.00587237683270272,0.925619841668725,0.948973851673285
"ENSG00000222511.2",0.0124000078417113,0.973981961324318,NA
"ENSG00000226545.1",0.068960805796214,0.698653240491244,NA
"ENSG00000228423.2",0.0563262920001399,0.822626974579509,NA
"ENSG00000229716.2",-0.0804384672259884,0.559721693316905,NA
"ENSG00000074800.13",0.0072579045891585,0.694231745445939,0.77298650772303
"ENSG00000274258.1",0.0206255816855783,0.923918030297839,NA
"ENSG00000236269.1",0.00219142780953239,0.959646926361668,0.973238375606711
"ENSG00000230679.1",-0.0809274943130297,0.0473011412109816,0.0868629779017188
"ENSG00000201725.1",0.0162978642386892,0.975425223469657,NA
"ENSG00000238249.2",0.0672903232157836,0.224680998292336,0.320689927709689
"ENSG00000232208.2",-0.0127693341249026,0.929044202367876,NA
"ENSG00000232663.2",-0.00192668126916415,0.993589795682659,NA
"ENSG00000131686.14",0.141707097350512,0.0670433287742438,0.117002663729011
"ENSG00000265141.2",0.00120254104137499,0.998874377537012,NA
"ENSG00000197241.3",-0.0411491086266448,0.656310030142482,NA
"ENSG00000142583.17",-0.01360221562039,0.642506545331925,0.729561223843492
"ENSG00000252404.1",0.0281257939478825,0.967516671230098,NA
"ENSG00000180758.11",-0.044692654742537,0.00825058215515551,0.0189912500025413
"ENSG00000228526.6",0.423939028989443,2.56765521103197e-49,2.70834141189913e-45
"ENSG00000234546.3",0.486986360665916,8.08495789560658e-23,1.34985284077788e-20
"ENSG00000281937.1",0.540319056943736,4.11951210305892e-16,1.56352224377936e-14
"ENSG00000049239.12",0.0505822640676927,0.00836420155193937,0.0192157184235094
"ENSG00000171621.13",-0.0494784762457764,0.105263975185207,0.171188102977335
"ENSG00000252956.1",0.00308703714667719,0.99319825934169,NA
"ENSG00000235263.1",-0.348009428241941,1.11888849709359e-10,1.36361361731645e-09
"ENSG00000171612.6",-0.171519695484178,2.76153699984999e-07,1.71388687877824e-06
"ENSG00000231181.1",0.0733773408196679,0.057680763476114,0.102858176064794
"ENSG00000188807.12",-0.0830605518480887,2.68462972249277e-05,0.000108704226624635
"ENSG00000171608.15",0.0385838837499646,0.0101643853783633,0.0228512516602944
"ENSG00000179840.5",0.0744884410584601,0.424779204496233,0.532158948193387
"ENSG00000233268.3",0.0149399113344605,0.966197069487381,NA
"ENSG00000231789.2",0.0930284128209555,0.0272016931666155,0.0538403046012193
"ENSG00000171603.16",0.0410907380139144,4.85286868541166e-06,2.32207675743248e-05
"ENSG00000271264.1",-0.000467675030448206,0.998882795358636,NA
"ENSG00000280113.2",0.00885915851321845,0.921569275858028,0.946025064541995
"ENSG00000178585.14",-0.0168867241046441,0.382534120468975,0.490544291780952
"ENSG00000162441.11",-0.0421439698692165,4.98949018827923e-08,3.61782948552929e-07
"ENSG00000228150.1",-0.0375218134855737,0.178378292342463,0.265442096903276
"ENSG00000173614.13",-0.0770001287052159,0.000219639013950123,0.000731819661515336
"ENSG00000202415.1",-0.108044330665542,2.59453411901328e-06,1.31266561339244e-05
"ENSG00000283611.1",0.0039618958373436,0.953463866055293,0.969316827230556
"ENSG00000265521.1",-0.00382799905450796,0.996455696988048,NA
"ENSG00000162444.11",0.147720793683185,3.12144013737646e-07,1.91950697608171e-06
"ENSG00000130939.18",-0.0965700383718976,4.96881385558666e-11,6.47694534257965e-10
"ENSG00000224340.1",0.00605857946509347,0.97683240353311,NA
"ENSG00000233623.2",0.112301213256397,0.251173376607341,0.3502947290378
"ENSG00000201746.1",0.0414148554791263,0.662996528847188,NA
"ENSG00000054523.17",-0.0711671452705177,1.75642661379248e-06,9.24793051899265e-06
"ENSG00000199562.1",-0.00566133900442239,0.93279714961621,0.953873966300121
"ENSG00000142657.20",-0.0408924752884011,0.00375924770627383,0.00945991712918873
"ENSG00000271989.1",0.0789864618130732,0.560088011271126,NA
"ENSG00000175279.21",-0.175243082218268,8.03543008910603e-20,6.92314608987336e-18
"ENSG00000241563.3",-0.0718526571596359,0.00944459460359316,0.0213972559875963
"ENSG00000160049.11",-0.0204257858445458,0.0159001975416984,0.0337140268070111
"ENSG00000142655.12",-0.0219174119827166,0.00582207500089772,0.0139555696462045
"ENSG00000243267.3",0.119451554912161,0.0596557309968466,0.105899201165495
"ENSG00000130940.14",0.0504891014852345,2.72685899975175e-05,0.000110358675645567
"ENSG00000272078.1",0.148895300010391,1.14117873975024e-14,3.21998270849142e-13
"ENSG00000175262.14",0.131585488620366,0.000604339066998848,0.00182843523067501
"ENSG00000215785.2",0.0301904308581423,0.64092753462945,0.728281541306325
"ENSG00000120948.16",-0.00159711345768212,0.860777774649833,0.902510078174652
"ENSG00000009724.16",0.103910924919057,1.92717427967365e-09,1.81789627675422e-08
"ENSG00000271895.2",0.0964081702773667,1.05496453422419e-10,1.29402825223853e-09
"ENSG00000116649.9",0.0195190218174941,0.0465545814144417,0.0856286475779186
"ENSG00000171824.13",0.0530191961393753,1.86146694428369e-13,4.09154497582901e-12
"ENSG00000226849.1",0.0954360032199849,2.1945209627433e-09,2.05027686235075e-08
"ENSG00000230337.1",-0.0786638478352928,0.0679877434034345,0.118407148183379
"ENSG00000198793.12",-0.0888563836099147,3.802197235085e-17,1.83410481296623e-15
"ENSG00000225602.5",0.223367914706571,0.0112697488234976,0.0250023445064629
"ENSG00000253086.1",0.00299486936537728,0.996686529904128,NA
"ENSG00000171819.4",-0.287379910665065,7.88686312449302e-06,3.60224508094314e-05
"ENSG00000207451.1",0.0127017865397364,0.981418739618285,NA
"ENSG00000238173.1",0.00212417843892721,0.990107973810732,NA
"ENSG00000120942.13",-0.0959831375050333,1.76452957426745e-17,9.14122772855628e-16
"ENSG00000238199.1",0.0686612230770206,0.352677857348911,0.459648058459552
"ENSG00000224338.2",0.023502792352182,0.962824259346012,NA
"ENSG00000204624.7",0.0705680644028315,0.110255863985347,0.177896694643665
"ENSG00000235643.1",0.00813507391384212,0.961733091686149,NA
"ENSG00000116661.9",-0.283380774469659,1.58193388344276e-10,1.86720349912733e-09
"ENSG00000132879.13",0.0303776447398517,0.0373616154707799,0.0707762101890029
"ENSG00000116663.10",-0.104677359949802,9.98661264624077e-14,2.31343363982614e-12
"ENSG00000116670.14",0.0197071188892982,0.0425727905880948,0.0793595706535111
"ENSG00000162490.6",0.116943601901203,0.0231715763658276,0.0468212018082436
"ENSG00000177674.15",-0.0767874297454478,0.00190766809798311,0.00515305466688825
"ENSG00000215910.7",0.161408920320526,0.00561633059065171,0.0135156848859276
"ENSG00000177553.6",0.0384198586045135,0.888547373705873,NA
"ENSG00000177000.10",0.0870017446206314,9.7357424160331e-09,8.09586652572476e-08
"ENSG00000011021.21",0.045851772064865,2.43076627322189e-05,9.93126405856333e-05
"ENSG00000242349.5",0.0741095641340331,0.0202086192976614,0.0415559884893774
"ENSG00000175206.10",0.132529841508377,0.00160895198086305,0.00442327955629638
"ENSG00000120937.8",0.0066638880438237,0.905371229345472,0.93466751427928
"ENSG00000224904.1",-0.0155944425376143,0.811637445310563,0.865605130080171
"ENSG00000199347.1",-0.0537096786346422,0.451541968052275,0.557664973996721
"ENSG00000201801.1",-0.00862674532644096,0.945884639383791,NA
"ENSG00000116685.15",-0.087799029946669,7.63694366375535e-16,2.75263127155692e-14
"ENSG00000083444.16",-0.0446208051395416,5.2569726620002e-05,0.000200539161936347
"ENSG00000116688.16",-0.0097360708478426,0.484723117765623,0.588450176082646
"ENSG00000270914.1",0.004082687223686,0.995133511496501,NA
"ENSG00000116691.10",0.0152796362884941,0.233277100489168,0.33054342417055
"ENSG00000202461.1",0.0610657634577948,0.400924687979894,0.508601650835224
"ENSG00000276869.1",0.010178744311135,0.987885269595004,NA
"ENSG00000243539.3",0.0073240064678492,0.989333575284679,NA
"ENSG00000120949.14",0.0493816085329606,0.0221314122270922,0.0450186538850826
"ENSG00000227875.2",0.0357471767318237,0.833870285007035,NA
"ENSG00000028137.18",0.0666622726594205,0.000243659014576412,0.000804119666806198
"ENSG00000225196.2",-0.0230406503862645,0.897506470166816,NA
"ENSG00000252969.1",0.00479740769346161,0.993151037439245,NA
"ENSG00000048707.13",-0.0468462874692567,0.000134512755974381,0.000467472447774211
"ENSG00000239149.1",0.117417105822208,0.000602853371752011,0.00182452749112098
"ENSG00000229484.1",-0.114877040504106,0.0767580872260988,0.131074501573216
"ENSG00000162496.8",-0.00777683255217491,0.602587069742333,0.69515035563896
"ENSG00000221340.1",-0.0849996977083466,0.233679987449877,0.330997856415552
